	decision	gains	losses
0	1	14	12
1	1	10	7
2	1	18	5
3	1	12	11
4	1	18	14
5	1	30	9
6	1	30	8
7	1	26	10
8	1	26	5
9	1	22	10
10	1	28	14
11	1	22	5
12	1	20	11
13	1	26	7
14	1	30	13
15	1	18	10
16	1	30	15
17	1	20	14
18	1	26	8
19	1	12	6
20	1	24	12
21	1	16	15
22	1	18	9
23	1	14	6
24	1	10	13
25	1	28	13
26	1	22	13
27	1	20	7
28	1	26	6
29	1	10	6
30	1	24	10
31	1	16	13
32	1	16	6
33	1	24	6
34	1	30	10
35	1	30	11
36	1	24	5
37	1	22	9
38	1	26	14
39	1	20	6
40	1	16	5
41	1	10	15
42	1	22	11
43	1	16	11
44	1	24	8
45	1	18	8
46	1	10	12
47	1	24	14
48	1	12	7
49	1	16	8
50	1	28	7
51	1	14	7
52	1	12	8
53	1	24	13
54	1	22	14
55	1	18	11
56	1	16	9
57	1	20	12
58	1	30	7
59	1	20	8
60	1	24	11
61	1	12	10
62	1	18	12
63	1	28	9
64	1	30	12
65	1	22	7
66	1	18	13
67	1	14	9
68	1	14	13
69	1	30	5
70	1	30	6
71	1	22	8
72	1	22	15
73	1	14	8
74	1	14	10
75	1	28	12
76	1	20	15
77	1	28	11
78	1	24	9
79	1	22	12
80	1	28	6
81	1	20	10
82	1	14	11
83	1	18	6
84	1	16	10
85	1	26	11
86	1	12	9
87	1	28	5
88	1	20	9
89	1	18	15
90	1	10	5
91	1	28	8
92	1	24	7
93	1	22	6
94	1	26	13
95	1	16	14
96	1	28	10
97	1	26	12
98	1	14	5
99	1	30	14
100	1	12	5
101	1	16	7
102	1	26	9
103	1	10	9
104	1	18	7
105	1	10	8
106	1	26	15
107	1	24	15
108	1	20	13
109	1	28	15
110	1	20	5
111	1	16	12
112	0	10	11
113	0	10	10
114	0	10	14
115	0	12	14
116	0	12	13
117	0	12	15
118	0	12	12
119	0	14	15
120	0	14	14
